 Óbitos por Causas Externas - Brasil
Óbitos p/Ocorrênc por Município
Grande Grupo CID10: X85-Y09 Agressões, Y35-Y36 Intervenções legais e operações de guerra
Período:2020
"Município";"Óbitos_p/Ocorrênc"
"313760 Lagoa Santa";16
"313770 Lajinha";3
"313780 Lambari";1
"313810 Lassance";2
"313820 Lavras";5
"313830 Leandro Ferreira";1
"313840 Leopoldina";5
"313860 Lima Duarte";1
"313890 Machacalis";2
"313900 Machado";5
"313920 Malacacheta";3
"313930 Manga";5
"313940 Manhuaçu";29
"313950 Manhumirim";6
"313960 Mantena";2
"313980 Mar de Espanha";1
"313990 Maria da Fé";1
"314000 Mariana";4
"314010 Marilac";2
"314015 Mário Campos";1
"314030 Marliéria";2
"314050 Martinho Campos";2
"314053 Martins Soares";1
"314055 Mata Verde";1
"314060 Materlândia";1
"314070 Mateus Leme";6
"317150 Mathias Lobato";4
"314080 Matias Barbosa";1
"314085 Matias Cardoso";1
"314100 Mato Verde";1
"314110 Matozinhos";12
"314140 Medina";6
"314150 Mendes Pimentel";1
"314200 Mirabela";1
"314210 Miradouro";2
"314220 Miraí";3
"314225 Miravânia";1
"314240 Moema";1
"314270 Montalvânia";1
"314280 Monte Alegre de Minas";1
"314290 Monte Azul";2
"314310 Monte Carmelo";4
"314330 Montes Claros";33
"314350 Morada Nova de Minas";1
"314380 Munhoz";1
"314390 Muriaé";23
"314400 Mutum";10
"314410 Muzambinho";1
"314430 Nanuque";16
"314437 Natalândia";1
"314465 Ninheira";3
"314470 Nova Era";2
"314480 Nova Lima";11
"314500 Nova Ponte";3
"314505 Nova Porteirinha";2
"314510 Nova Resende";1
"314520 Nova Serrana";15
"314530 Novo Cruzeiro";2
"314535 Novo Oriente de Minas";4
"314545 Olhos-d'Água";1
"314560 Oliveira";1
"314590 Ouro Branco";8
"314610 Ouro Preto";4
"314625 Padre Carvalho";1
"314630 Padre Paraíso";1
"314650 Pains";1
"314690 Papagaios";4
"314710 Pará de Minas";13
"314700 Paracatu";29
"314720 Paraguaçu";2
"314730 Paraisópolis";1
"314740 Paraopeba";1
"314760 Passa Quatro";2
"314790 Passos";9
"314800 Patos de Minas";23
"314810 Patrocínio";22
"314820 Patrocínio do Muriaé";2
"314850 Pavão";1
"314860 Peçanha";3
"314870 Pedra Azul";8
"314915 Pedras de Maria da Cruz";2
"314920 Pedrinópolis";1
"314930 Pedro Leopoldo";8
"314960 Pequi";1
"314970 Perdigão";2
"314980 Perdizes";3
"314995 Periquito";3
"315050 Pimenta";1
"315060 Piracema";1
"315070 Pirajuba";1
"315080 Piranga";1
"315100 Piranguinho";1
"315120 Pirapora";15
"315130 Piraúba";4
"315140 Pitangui";3
"315150 Piumhi";2
"315160 Planura";1
"315180 Poços de Caldas";5
"315190 Pocrane";1
"315200 Pompéu";20
"315210 Ponte Nova";8
"315217 Ponto dos Volantes";2
"315220 Porteirinha";2
"315230 Porto Firme";3
"315240 Poté";2
"315250 Pouso Alegre";11
"315280 Prata";6
"315340 Presidente Olegário";4
"315360 Prudente de Morais";1
"315390 Raposos";1
"315430 Resplendor";5
"315445 Riachinho";2
"315460 Ribeirão das Neves";68
"315480 Rio Acima";1
"315490 Rio Casca";1
"315530 Rio Manso";1
"315550 Rio Paranaíba";1
"315570 Rio Piracicaba";1
"315580 Rio Pomba";1
"315600 Rio Vermelho";1
"315650 Rubelita";1
"315670 Sabará";5
"315690 Sacramento";1
"315700 Salinas";2
"315710 Salto da Divisa";2
"315720 Santa Bárbara";4
"315725 Santa Bárbara do Leste";1
"315733 Santa Cruz de Minas";1
"315737 Santa Cruz de Salinas";2
"315750 Santa Efigênia de Minas";1
"315790 Santa Margarida";1
"315820 Santa Maria do Suaçuí";3
"315920 Santa Rita de Caldas";1
"315930 Santa Rita de Jacutinga";1
"315950 Santa Rita do Itueto";1
"315960 Santa Rita do Sapucaí";3
"315980 Santa Vitória";4
"315860 Santana do Deserto";1
"315890 Santana do Manhuaçu";1
"315895 Santana do Paraíso";5
"316010 Santo Antônio do Grama";1
"316030 Santo Antônio do Jacinto";1
"316040 Santo Antônio do Monte";1
"316070 Santos Dumont";4
"316080 São Bento Abade";1
"316090 São Brás do Suaçuí";1
"316100 São Domingos do Prata";2
"316110 São Francisco";3
"316120 São Francisco de Paula";1
"316140 São Francisco do Glória";1
"316160 São Geraldo da Piedade";1
"316190 São Gonçalo do Rio Abaixo";3
"316210 São Gotardo";6
"316220 São João Batista do Glória";1
"316240 São João da Ponte";4
"316245 São João das Missões";1
"316250 São João del Rei";5
"316255 São João do Manhuaçu";4
"316270 São João do Paraíso";1
"316280 São João Evangelista";1
"316290 São João Nepomuceno";10
"316292 São Joaquim de Bicas";12
"316295 São José da Lapa";1
"316370 São Lourenço";4
"316410 São Pedro do Suaçuí";2
"316400 São Pedro dos Ferros";1
"316420 São Romão";3
"316440 São Sebastião da Bela Vista";1
"316447 São Sebastião do Anta";1
"316450 São Sebastião do Maranhão";1
"316460 São Sebastião do Oeste";1
"316470 São Sebastião do Paraíso";9
"316500 São Tiago";1
"316553 Sarzedo";2
"316610 Senhora do Porto";1
"316620 Senhora dos Remédios";1
"316630 Sericita";1
"316660 Serra da Saudade";1
"316680 Serra do Salitre";5
"316670 Serra dos Aimorés";1
"316690 Serrania";1
"316710 Serro";1
"316720 Sete Lagoas";59
"316555 Setubinha";1
"316760 Simonésia";6
"316770 Sobrália";1
"316780 Soledade de Minas";1
"316800 Taiobeiras";2
"316820 Tapiraí";1
"316840 Tarumirim";2
"316850 Teixeiras";3
"316860 Teófilo Otoni";17
"316870 Timóteo";17
"316900 Tocantins";5
"316910 Toledo";1
"316920 Tombos";1
"316930 Três Corações";14
"316935 Três Marias";9
"316940 Três Pontas";4
"316950 Tumiritinga";4
"316960 Tupaciguara";4
"316970 Turmalina";3
"316990 Ubá";20
"317000 Ubaí";1
"317005 Ubaporanga";1
"317010 Uberaba";47
"317020 Uberlândia";42
"317030 Umburatiba";1
"317040 Unaí";18
"317052 Urucuia";2
"317070 Varginha";9
"317080 Várzea da Palma";3
"317090 Varzelândia";1
"317100 Vazante";1
"317103 Verdelândia";1
"317120 Vespasiano";9
"317130 Viçosa";24
"317160 Virgem da Lapa";1
"317180 Virginópolis";1
"317190 Virgolândia";1
"317200 Visconde do Rio Branco";12
"320010 Afonso Cláudio";9
"320013 Águia Branca";3
"320020 Alegre";4
"320035 Alto Rio Novo";1
"320040 Anchieta";4
"320050 Apiacá";1
"320060 Aracruz";18
"320070 Atilio Vivacqua";2
"320080 Baixo Guandu";15
"320090 Barra de São Francisco";10
"320100 Boa Esperança";8
"320110 Bom Jesus do Norte";1
"320115 Brejetuba";8
"320120 Cachoeiro de Itapemirim";43
"320130 Cariacica";164
"320140 Castelo";4
"320150 Colatina";30
"320160 Conceição da Barra";26
"320170 Conceição do Castelo";3
"320190 Domingos Martins";3
"320200 Dores do Rio Preto";1
"320210 Ecoporanga";9
"320220 Fundão";8
"320225 Governador Lindenberg";1
"320230 Guaçuí";7
"320240 Guarapari";34
"320245 Ibatiba";8
"320250 Ibiraçu";2
"320255 Ibitirama";2
"320260 Iconha";3
"320265 Irupi";2
"320270 Itaguaçu";3
"320280 Itapemirim";5
"320290 Itarana";1
"320300 Iúna";3
"320305 Jaguaré";25
"320313 João Neiva";1
"320316 Laranja da Terra";1
"320320 Linhares";87
"320330 Mantenópolis";3
"320332 Marataízes";8
"320334 Marechal Floriano";2
"320335 Marilândia";1
"320340 Mimoso do Sul";3
"320350 Montanha";1
"320370 Muniz Freire";1
"320380 Muqui";1
"320390 Nova Venécia";10
"320400 Pancas";5
"320405 Pedro Canário";20
"320410 Pinheiros";18
"320420 Piúma";5
"320430 Presidente Kennedy";3
"320435 Rio Bananal";2
"320440 Rio Novo do Sul";3
"320450 Santa Leopoldina";1
"320455 Santa Maria de Jetibá";2
"320460 Santa Teresa";4
"320465 São Domingos do Norte";1
"320470 São Gabriel da Palha";7
"320490 São Mateus";48
"320500 Serra";204
"320501 Sooretama";11
"320503 Vargem Alta";4
"320506 Venda Nova do Imigrante";2
"320510 Viana";18
"320515 Vila Pavão";5
"320517 Vila Valério";9
"320520 Vila Velha";145
"320530 Vitória";131
"330010 Angra dos Reis";107
"330015 Aperibé";3
"330020 Araruama";53
"330023 Armação dos Búzios";20
"330025 Arraial do Cabo";13
"330030 Barra do Piraí";32
"330040 Barra Mansa";58
"330045 Belford Roxo";178
"330050 Bom Jardim";5
"330060 Bom Jesus do Itabapoana";4
"330070 Cabo Frio";114
"330080 Cachoeiras de Macacu";22
"330100 Campos dos Goytacazes";134
"330110 Cantagalo";2
"330093 Carapebus";5
"330115 Cardoso Moreira";4
"330130 Casimiro de Abreu";22
"330095 Comendador Levy Gasparian";1
"330140 Conceição de Macabu";13
"330150 Cordeiro";1
"330170 Duque de Caxias";350
"330180 Engenheiro Paulo de Frontin";1
"330185 Guapimirim";29
"330187 Iguaba Grande";9
"330190 Itaboraí";68
"330200 Itaguaí";62
"330205 Italva";4
"330210 Itaocara";1
"330220 Itaperuna";49
"330225 Itatiaia";13
"330227 Japeri";47
"330230 Laje do Muriaé";4
"330240 Macaé";146
"330250 Magé";87
"330260 Mangaratiba";11
"330270 Maricá";52
"330280 Mendes";3
"330285 Mesquita";31
"330290 Miguel Pereira";9
"330300 Miracema";7
"330310 Natividade";3
"330320 Nilópolis";19
"330330 Niterói";119
"330340 Nova Friburgo";20
"330350 Nova Iguaçu";311
"330360 Paracambi";9
"330370 Paraíba do Sul";2
"330380 Paraty";25
"330385 Paty do Alferes";8
"330390 Petrópolis";25
"330395 Pinheiral";6
"330400 Piraí";3
"330410 Porciúncula";1
"330411 Porto Real";10
"330414 Queimados";45
"330415 Quissamã";11
"330420 Resende";53
"330430 Rio Bonito";4
"330440 Rio Claro";4
"330452 Rio das Ostras";74
"330455 Rio de Janeiro";1418
"330460 Santa Maria Madalena";1
"330470 Santo Antônio de Pádua";11
"330480 São Fidélis";2
"330475 São Francisco de Itabapoana";14
"330490 São Gonçalo";484
"330500 São João da Barra";6
"330510 São João de Meriti";135
"330515 São José do Vale do Rio Preto";3
"330520 São Pedro da Aldeia";37
"330550 Saquarema";22
"330555 Seropédica";14
"330560 Silva Jardim";6
"330570 Sumidouro";1
"330575 Tanguá";6
"330580 Teresópolis";24
"330590 Trajano de Moraes";2
"330600 Três Rios";19
"330610 Valença";5
"330620 Vassouras";10
"330630 Volta Redonda";92
"350030 Aguaí";1
"350050 Águas de Lindóia";1
"350055 Águas de Santa Bárbara";2
"350070 Agudos";3
"350090 Altair";1
"350115 Alumínio";3
"350130 Álvares Machado";2
"350160 Americana";22
"350170 Américo Brasiliense";1
"350190 Amparo";3
"350210 Andradina";2
"350220 Angatuba";1
"350250 Aparecida";3
"350270 Apiaí";1
"350275 Araçariguama";4
"350280 Araçatuba";39
"350290 Araçoiaba da Serra";1
"350320 Araraquara";14
"350330 Araras";22
"350340 Arealva";1
"350350 Areias";1
"350360 Areiópolis";2
"350380 Artur Nogueira";5
"350390 Arujá";8
"350400 Assis";3
"350410 Atibaia";12
"350450 Avaré";4
"350460 Bady Bassitt";2
"350470 Balbinos";1
"350520 Bariri";1
"350540 Barra do Turvo";1
"350550 Barretos";9
"350560 Barrinha";2
"350570 Barueri";19
"350580 Bastos";1
"350590 Batatais";1
"350600 Bauru";43
"350610 Bebedouro";5
"350630 Bernardino de Campos";1
"350635 Bertioga";13
"350650 Birigui";17
"350660 Biritiba-Mirim";4
"350680 Bocaina";1
"350700 Boituva";7
"350710 Bom Jesus dos Perdões";1
"350740 Borborema";1
"350750 Botucatu";12
"350760 Bragança Paulista";13
"350775 Brejo Alegre";1
"350780 Brodowski";3
"350790 Brotas";2
"350800 Buri";2
"350810 Buritama";1
"350830 Cabrália Paulista";2
"350840 Cabreúva";3
"350850 Caçapava";23
"350860 Cachoeira Paulista";5
"350870 Caconde";1
"350900 Caieiras";3
"350920 Cajamar";8
"350925 Cajati";2
"350940 Cajuru";4
"350945 Campina do Monte Alegre";1
"350950 Campinas";160
"350960 Campo Limpo Paulista";5
"350970 Campos do Jordão";3
"351000 Cândido Mota";2
"351015 Canitar";1
"351020 Capão Bonito";4
"351030 Capela do Alto";1
"351040 Capivari";2
"351050 Caraguatatuba";39
"351060 Carapicuíba";38
"351070 Cardoso";1
"351080 Casa Branca";4
"351100 Castilho";4
"351110 Catanduva";9
"351150 Cerquilho";1
"351160 Cesário Lange";4
"351170 Charqueada";7
"355720 Chavantes";3
"351200 Colina";3
"351220 Conchal";2
"351240 Cordeirópolis";1
"351250 Coroados";3
"351280 Cosmópolis";12
"351300 Cotia";36
"351310 Cravinhos";6
"351320 Cristais Paulista";1
"351340 Cruzeiro";35
"351350 Cubatão";21
"351360 Cunha";2
"351380 Diadema";52
"351400 Dobrada";1
"351410 Dois Córregos";5
"351440 Dracena";1
"351460 Dumont";1
"351480 Eldorado";1
"351490 Elias Fausto";3
"351500 Embu das Artes";9
"351510 Embu-Guaçu";3
"351512 Emilianópolis";1
"351515 Engenheiro Coelho";1
"351518 Espírito Santo do Pinhal";3
"351519 Espírito Santo do Turvo";1
"355730 Estiva Gerbi";1
"351540 Fartura";1
"351550 Fernandópolis";5
"351570 Ferraz de Vasconcelos";27
"351610 Florínia";1
"351620 Franca";24
"351630 Francisco Morato";22
"351640 Franco da Rocha";16
"351660 Gália";1
"351670 Garça";5
"351720 Guaiçara";1
"351740 Guaíra";1
"351760 Guapiara";2
"351770 Guará";1
"351780 Guaraçaí";2
"351790 Guaraci";2
"351810 Guarantã";1
"351820 Guararapes";5
"351830 Guararema";4
"351840 Guaratinguetá";32
"351860 Guariba";5
"351870 Guarujá";42
"351880 Guarulhos";114
"351905 Holambra";1
"351907 Hortolândia";32
"351910 Iacanga";1
"351920 Iacri";1
"351925 Iaras";2
"351930 Ibaté";3
"351940 Ibirá";2
"351950 Ibirarema";2
"351960 Ibitinga";2
"351970 Ibiúna";14
"351990 Iepê";2
"352000 Igaraçu do Tietê";2
"352010 Igarapava";1
"352030 Iguape";3
"352044 Ilha Solteira";1
"352040 Ilhabela";3
"352050 Indaiatuba";8
"352060 Indiana";1
"352090 Ipaussu";2
"352100 Iperó";5
"352130 Ipuã";2
"352170 Itaberá";1
"352180 Itaí";2
"352190 Itajobi";2
"352210 Itanhaém";15
"352220 Itapecerica da Serra";12
"352230 Itapetininga";11
"352240 Itapeva";4
"352250 Itapevi";20
"352260 Itapira";5
"352270 Itápolis";2
"352280 Itaporanga";4
"352290 Itapuí";1
"352310 Itaquaquecetuba";51
"352320 Itararé";2
"352330 Itariri";2
"352340 Itatiba";12
"352350 Itatinga";1
"352390 Itu";17
"352400 Itupeva";5
"352410 Ituverava";3
"352430 Jaboticabal";7
"352440 Jacareí";43
"352460 Jacupiranga";1
"352470 Jaguariúna";2
"352480 Jales";2
"352500 Jandira";8
"352510 Jardinópolis";8
"352520 Jarinu";2
"352530 Jaú";9
"352570 José Bonifácio";7
"352580 Júlio Mesquita";2
"352590 Jundiaí";40
"352610 Juquiá";2
"352620 Juquitiba";1
"352630 Lagoinha";1
"352640 Laranjal Paulista";3
"352660 Lavrinhas";1
"352670 Leme";15
"352680 Lençóis Paulista";4
"352690 Limeira";22
"352710 Lins";10
"352720 Lorena";19
"352730 Louveira";1
"352760 Luís Antônio";2
"352800 Macatuba";1
"352820 Macedônia";1
"352850 Mairiporã";15
"352870 Marabá Paulista";1
"352900 Marília";18
"352920 Martinópolis";6
"352930 Matão";1
"352940 Mauá";42
"352970 Miguelópolis";2
"352990 Miracatu";2
"353010 Mirandópolis";3
"353030 Mirassol";1
"353050 Mococa";4
"353060 Mogi das Cruzes";48
"353070 Mogi Guaçu";14
"353080 Mogi Mirim";8
"353110 Mongaguá";5
"353130 Monte Alto";2
"353180 Monte Mor";13
"353190 Morro Agudo";3
"353200 Morungaba";1
"353230 Natividade da Serra";1
"353240 Nazaré Paulista";6
"353250 Neves Paulista";2
"353282 Nova Campina";1
"353340 Nova Odessa";4
"353350 Novo Horizonte";3
"353370 Ocauçu";1
"353390 Olímpia";5
"353400 Onda Verde";1
"353440 Osasco";83
"353460 Osvaldo Cruz";2
"353470 Ourinhos";10
"353510 Palmares Paulista";1
"353520 Palmeira d'Oeste";2
"353530 Palmital";2
"353540 Panorama";2
"353550 Paraguaçu Paulista";2
"353560 Paraibuna";2
"353580 Paranapanema";1
"353600 Parapuã";1
"353630 Patrocínio Paulista";2
"353640 Paulicéia";1
"353650 Paulínia";2
"353700 Pedregulho";1
"353710 Pedreira";1
"353720 Pedro de Toledo";2
"353730 Penápolis";4
"353760 Peruíbe";19
"353770 Piacatu";1
"353780 Piedade";4
"353790 Pilar do Sul";7
"353800 Pindamonhangaba";17
"353820 Pinhalzinho";3
"353860 Piracaia";4
"353870 Piracicaba";31
"353880 Piraju";2
"353890 Pirajuí";1
"353900 Pirangi";3
"353910 Pirapora do Bom Jesus";8
"353920 Pirapozinho";2
"353930 Pirassununga";3
"353940 Piratininga";1
"353950 Pitangueiras";2
"353960 Planalto";1
"353980 Poá";4
"354020 Pontal";2
"354070 Porto Ferreira";3
"354080 Potirendaba";2
"354090 Pradópolis";1
"354100 Praia Grande";46
"354110 Presidente Alves";1
"354130 Presidente Epitácio";1
"354140 Presidente Prudente";41
"354160 Promissão";2
"354180 Queiroz";1
"354210 Rafard";1
"354220 Rancharia";5
"354240 Regente Feijó";1
"354250 Reginópolis";1
"354260 Registro";3
"354300 Ribeirão Branco";2
"354330 Ribeirão Pires";4
"354340 Ribeirão Preto";76
"354390 Rio Claro";30
"354400 Rio das Pedras";2
"354420 Riolândia";1
"354430 Roseira";1
"354440 Rubiácea";1
"354460 Sabino";1
"354500 Salesópolis";3
"354520 Salto";7
"354530 Salto de Pirapora";4
"354560 Santa Adélia";2
"354580 Santa Bárbara d'Oeste";9
"354600 Santa Branca";1
"354630 Santa Cruz das Palmeiras";1
"354640 Santa Cruz do Rio Pardo";2
"354660 Santa Fé do Sul";1
"354670 Santa Gertrudes";1
"354680 Santa Isabel";8
"354750 Santa Rita do Passa Quatro";2
"354760 Santa Rosa de Viterbo";1
"354730 Santana de Parnaíba";7
"354770 Santo Anastácio";2
"354780 Santo André";57
"354790 Santo Antônio da Alegria";1
"354800 Santo Antônio de Posse";2
"354805 Santo Antônio do Aracanguá";1
"354830 Santo Expedito";2
"354850 Santos";32
"354870 São Bernardo do Campo";66
"354880 São Caetano do Sul";3
"354890 São Carlos";24
"354910 São João da Boa Vista";6
"354940 São Joaquim da Barra";1
"354970 São José do Rio Pardo";4
"354980 São José do Rio Preto";46
"354990 São José dos Campos";61
"354995 São Lourenço da Serra";1
"355000 São Luís do Paraitinga";2
"355010 São Manuel";1
"355020 São Miguel Arcanjo";1
"355030 São Paulo";304
"355040 São Pedro";1
"355050 São Pedro do Turvo";1
"355060 São Roque";7
"355070 São Sebastião";10
"355080 São Sebastião da Grama";1
"355100 São Vicente";39
"355110 Sarapuí";3
"355160 Serra Negra";3
"355150 Serrana";2
"355170 Sertãozinho";8
"355180 Sete Barras";4
"355190 Severínia";2
"355210 Socorro";5
"355220 Sorocaba";78
"355240 Sumaré";45
"355255 Suzanápolis";2
"355250 Suzano";28
"355260 Tabapuã";1
"355270 Tabatinga";2
"355280 Taboão da Serra";15
"355330 Tambaú";3
"355340 Tanabi";2
"355370 Taquaritinga";1
"355380 Taquarituba";1
"355385 Taquarivaí";1
"355390 Tarabai";1
"355400 Tatuí";11
"355410 Taubaté";19
"355480 Tremembé";4
"355500 Tupã";3
"355540 Ubatuba";19
"355600 Urupês";1
"355620 Valinhos";6
"355630 Valparaíso";2
"355635 Vargem";1
"355640 Vargem Grande do Sul";2
"355645 Vargem Grande Paulista";3
"355650 Várzea Paulista";5
"355700 Votorantim";5
"355710 Votuporanga";4
"355715 Zacarias";1
"410010 Abatiá";1
"410030 Agudos do Sul";1
"410040 Almirante Tamandaré";41
"410045 Altamira do Paraná";1
"410060 Alto Paraná";6
"410070 Alto Piquiri";1
"410050 Altônia";6
"410080 Alvorada do Sul";5
"410090 Amaporã";2
"410100 Ampére";1
"410105 Anahy";1
"410115 Ângulo";3
"410120 Antonina";3
"410140 Apucarana";10
"410150 Arapongas";29
"410160 Arapoti";2
"410170 Araruna";1
"410180 Araucária";36
"410190 Assaí";1
"410200 Assis Chateaubriand";8
"410210 Astorga";2
"410230 Balsa Nova";3
"410240 Bandeirantes";7
"410250 Barbosa Ferraz";3
"410270 Barra do Jacaré";1
"410260 Barracão";1
"410280 Bela Vista do Paraíso";2
"410290 Bituruna";4
"410304 Boa Ventura de São Roque";1
"410310 Bocaiúva do Sul";5
"410315 Bom Jesus do Sul";1
"410320 Bom Sucesso";3
"410322 Bom Sucesso do Sul";1
"410330 Borrazópolis";1
"410335 Braganey";1
"410350 Califórnia";1
"410360 Cambará";3
"410370 Cambé";14
"410380 Cambira";1
"410390 Campina da Lagoa";7
"410400 Campina Grande do Sul";17
"410420 Campo Largo";32
"410425 Campo Magro";8
"410430 Campo Mourão";36
"410440 Cândido de Abreu";1
"410442 Candói";4
"410445 Cantagalo";2
"410450 Capanema";3
"410460 Capitão Leônidas Marques";3
"410470 Carlópolis";1
"410480 Cascavel";69
"410490 Castro";8
"410510 Centenário do Sul";2
"410520 Cerro Azul";2
"410530 Céu Azul";3
"410540 Chopinzinho";1
"410550 Cianorte";8
"410560 Cidade Gaúcha";2
"410570 Clevelândia";2
"410580 Colombo";52
"410590 Colorado";7
"410600 Congonhinhas";1
"410610 Conselheiro Mairinck";1
"410620 Contenda";3
"410630 Corbélia";3
"410640 Cornélio Procópio";6
"410645 Coronel Domingos Soares";1
"410650 Coronel Vivida";3
"410680 Cruz Machado";4
"410660 Cruzeiro do Oeste";3
"410685 Cruzmaltina";1
"410690 Curitiba";367
"410700 Curiúva";4
"410715 Diamante D'Oeste";2
"410720 Dois Vizinhos";6
"410725 Douradina";1
"410750 Engenheiro Beltrão";1
"410753 Entre Rios do Oeste";1
"410754 Espigão Alto do Iguaçu";3
"410760 Faxinal";2
"410765 Fazenda Rio Grande";32
"410800 Florestópolis";2
"410830 Foz do Iguaçu";87
"410832 Francisco Alves";2
"410840 Francisco Beltrão";19
"410850 General Carneiro";3
"410860 Goioerê";7
"410865 Goioxim";2
"410880 Guaíra";11
"410890 Guairaçá";2
"410920 Guaraci";1
"410930 Guaraniaçu";6
"410940 Guarapuava";45
"410950 Guaraqueçaba";2
"410960 Guaratuba";19
"410970 Ibaiti";3
"410975 Ibema";2
"410980 Ibiporã";21
"410990 Icaraíma";2
"411000 Iguaraçu";3
"411007 Imbaú";2
"411010 Imbituva";5
"411020 Inácio Martins";2
"411050 Ipiranga";1
"411060 Iporã";4
"411080 Iretama";1
"411095 Itaipulândia";2
"411125 Itaperuçu";7
"411150 Ivaiporã";2
"411155 Ivaté";1
"411170 Jaboti";1
"411180 Jacarezinho";7
"411190 Jaguapitã";1
"411200 Jaguariaíva";6
"411210 Jandaia do Sul";2
"411220 Janiópolis";1
"411230 Japira";1
"411260 Jardim Olinda";1
"411270 Jataizinho";1
"411275 Jesuítas";1
"411295 Juranda";2
"411320 Lapa";2
"411325 Laranjal";3
"411330 Laranjeiras do Sul";12
"411345 Lindoeste";2
"411350 Loanda";6
"411370 Londrina";141
"411380 Lupionópolis";2
"411390 Mallet";1
"411410 Mandaguaçu";2
"411420 Mandaguari";3
"411430 Mandirituba";7
"411440 Mangueirinha";1
"411450 Manoel Ribas";1
"411460 Marechal Cândido Rondon";9
"411470 Maria Helena";1
"411480 Marialva";5
"411500 Marilena";1
"411510 Mariluz";4
"411520 Maringá";44
"411550 Marumbi";1
"411560 Matelândia";4
"411570 Matinhos";22
"411575 Mauá da Serra";3
"411580 Medianeira";9
"411585 Mercedes";1
"411605 Missal";3
"411610 Moreira Sales";5
"411620 Morretes";4
"411640 Nossa Senhora das Graças";2
"411660 Nova América da Colina";1
"411670 Nova Aurora";1
"411690 Nova Esperança";4
"411705 Nova Laranjeiras";1
"411710 Nova Londrina";2
"411720 Nova Olímpia";3
"411725 Nova Prata do Iguaçu";1
"411721 Nova Santa Bárbara";1
"411727 Nova Tebas";1
"411730 Ortigueira";1
"411740 Ourizona";1
"411745 Ouro Verde do Oeste";2
"411750 Paiçandu";5
"411760 Palmas";9
"411770 Palmeira";3
"411780 Palmital";3
"411790 Palotina";2
"411800 Paraíso do Norte";7
"411820 Paranaguá";75
"411840 Paranavaí";30
"411850 Pato Branco";12
"411870 Paulo Frontin";1
"411880 Peabiru";2
"411915 Pinhais";25
"411930 Pinhão";11
"411940 Piraí do Sul";3
"411950 Piraquara";45
"411960 Pitanga";2
"411970 Planaltina do Paraná";2
"411990 Ponta Grossa";65
"411995 Pontal do Paraná";13
"412000 Porecatu";10
"412060 Prudentópolis";15
"412080 Quatro Barras";5
"412090 Quedas do Iguaçu";12
"412100 Querência do Norte";2
"412110 Quinta do Sol";1
"412140 Realeza";3
"412160 Renascença";1
"412170 Reserva";9
"412175 Reserva do Iguaçu";1
"412180 Ribeirão Claro";1
"412190 Ribeirão do Pinhal";7
"412200 Rio Azul";2
"412215 Rio Bonito do Iguaçu";6
"412217 Rio Branco do Ivaí";1
"412220 Rio Branco do Sul";10
"412230 Rio Negro";3
"412240 Rolândia";7
"412250 Roncador";3
"412280 Salgado Filho";1
"412300 Salto do Lontra";2
"412320 Santa Cecília do Pavão";1
"412330 Santa Cruz de Monte Castelo";3
"412340 Santa Fé";1
"412350 Santa Helena";9
"412370 Santa Isabel do Ivaí";5
"412380 Santa Izabel do Oeste";3
"412385 Santa Maria do Oeste";1
"412390 Santa Mariana";2
"412395 Santa Mônica";1
"412402 Santa Tereza do Oeste";1
"412405 Santa Terezinha de Itaipu";5
"412400 Santana do Itararé";1
"412410 Santo Antônio da Platina";4
"412420 Santo Antônio do Caiuá";1
"412430 Santo Antônio do Paraíso";1
"412440 Santo Antônio do Sudoeste";2
"412470 São Jerônimo da Serra";3
"412480 São João";1
"412490 São João do Caiuá";1
"412500 São João do Ivaí";4
"412530 São Jorge do Ivaí";1
"412535 São Jorge do Patrocínio";1
"412540 São José da Boa Vista";1
"412545 São José das Palmeiras";2
"412550 São José dos Pinhais";79
"412560 São Mateus do Sul";4
"412570 São Miguel do Iguaçu";8
"412580 São Pedro do Ivaí";2
"412600 São Sebastião da Amoreira";3
"412610 São Tomé";1
"412620 Sapopema";2
"412625 Sarandi";35
"412627 Saudade do Iguaçu";1
"412630 Sengés";2
"412650 Sertanópolis";10
"412660 Siqueira Campos";1
"412667 Tamarana";7
"412680 Tapejara";8
"412710 Telêmaco Borba";6
"412720 Terra Boa";5
"412730 Terra Rica";1
"412740 Terra Roxa";5
"412750 Tibagi";2
"412770 Toledo";32
"412780 Tomazina";2
"412785 Três Barras do Paraná";3
"412800 Ubiratã";1
"412810 Umuarama";27
"412820 União da Vitória";13
"412853 Ventania";2
"412855 Vera Cruz do Oeste";3
"412865 Virmond";2
"412870 Vitorino";2
"412880 Xambrê";3
"420010 Abelardo Luz";2
"420020 Agrolândia";3
"420050 Águas de Chapecó";3
"420055 Águas Frias";1
"420070 Alfredo Wagner";1
"420075 Alto Bela Vista";1
"420130 Araquari";13
"420140 Araranguá";16
"420195 Balneário Arroio do Silva";8
"420200 Balneário Camboriú";25
"420207 Balneário Gaivota";2
"421280 Balneário Piçarras";6
"422000 Balneário Rincão";2
"420210 Barra Velha";8
"420215 Belmonte";1
"420230 Biguaçu";8
"420240 Blumenau";30
"420250 Bom Jardim da Serra";1
"420260 Bom Retiro";3
"420280 Braço do Norte";2
"420290 Brusque";6
"420300 Caçador";15
"420315 Calmon";2
"420320 Camboriú";13
"420330 Campo Alegre";1
"420340 Campo Belo do Sul";1
"420360 Campos Novos";6
